aliquot_id	case_id
a8c8f66c-25bc-4dea-9ac2-6cafdd75a489	001ad307-4ad3-4f1d-b2fc-efc032871c7e
73bccf9b-02da-43df-97e3-0a4e92ee7904	001ad307-4ad3-4f1d-b2fc-efc032871c7e
1c3ac180-df2a-459d-92e3-db23700b9b62	001ad307-4ad3-4f1d-b2fc-efc032871c7e
227bcb71-2b35-4abf-9642-550f3bc0a532	001ad307-4ad3-4f1d-b2fc-efc032871c7e
814d412c-d29b-468e-a5fc-a77025e2ff3b	001ad307-4ad3-4f1d-b2fc-efc032871c7e
cf5e0a47-ca6b-47fa-812c-3fa90dcfa48d	001ad307-4ad3-4f1d-b2fc-efc032871c7e
5a3d8ba7-dea1-4155-9345-c542719b29f4	001ad307-4ad3-4f1d-b2fc-efc032871c7e
cf1b7042-ba57-411a-b484-786e0296b98a	001ad307-4ad3-4f1d-b2fc-efc032871c7e
08aa3ff6-be7c-4885-b040-1a58ac58f601	001ad307-4ad3-4f1d-b2fc-efc032871c7e
48e5f4e0-7f51-47f6-a508-347ed3638a6d	001cef41-ff86-4d3f-a140-a647ac4b10a1
7fcd5fda-8155-4b48-afb9-9e7958627113	001cef41-ff86-4d3f-a140-a647ac4b10a1
180ccad3-0279-4dea-a595-f154f85abea2	001cef41-ff86-4d3f-a140-a647ac4b10a1
aa6390ba-ac10-480e-888e-da7005c9af1b	001cef41-ff86-4d3f-a140-a647ac4b10a1
53c8bbbd-16cd-4790-a99b-f45b0f958157	001cef41-ff86-4d3f-a140-a647ac4b10a1
4b2073cb-62fe-41f3-baa1-200fc865871b	001cef41-ff86-4d3f-a140-a647ac4b10a1
3cfebe2f-269d-4b0b-926a-32e417edee64	001cef41-ff86-4d3f-a140-a647ac4b10a1
29649014-93dc-43a1-921b-7fef21993d35	001cef41-ff86-4d3f-a140-a647ac4b10a1
34a6f1be-b1db-4659-b620-6e21e0f73b2b	001cef41-ff86-4d3f-a140-a647ac4b10a1
a030f906-bc29-4230-af43-9aef58a3f539	001cef41-ff86-4d3f-a140-a647ac4b10a1
ecfbd0ba-1833-44a6-bda3-8d441212e10d	001cef41-ff86-4d3f-a140-a647ac4b10a1
ab241aac-4962-4ccd-919c-140031a13dba	001e0309-9c50-42b0-9e38-347883ee2cd3
26af153d-84b6-4737-93d3-5da95cae3855	001e0309-9c50-42b0-9e38-347883ee2cd3
82c56c02-714e-4c0c-8dd7-6242b5c9cc5d	001e0309-9c50-42b0-9e38-347883ee2cd3
b9f9004f-c8ef-43f5-8c53-00ec038460c5	001e0309-9c50-42b0-9e38-347883ee2cd3
43861dd6-95f2-4dd9-bff6-9269bc850f01	001e0309-9c50-42b0-9e38-347883ee2cd3
0645ecd0-0b4b-4caf-b5fe-b8bf4bfc74e1	001e0309-9c50-42b0-9e38-347883ee2cd3
3a0d98ba-0880-48c4-9014-35a8e2d38422	001e0309-9c50-42b0-9e38-347883ee2cd3
db0f8ee9-33a0-46cc-8218-59e18b2f824f	001e0309-9c50-42b0-9e38-347883ee2cd3
5a405dff-46ef-4aa5-bb67-8b01e3dfa72e	001e0309-9c50-42b0-9e38-347883ee2cd3
df3bcd30-5360-41c0-bd1d-650eea6ef297	001e0309-9c50-42b0-9e38-347883ee2cd3
7bcfc8b7-4bcd-4d38-8ca5-70b524d25059	001e0309-9c50-42b0-9e38-347883ee2cd3
d28b13a1-2b24-4ed5-88a3-33cc8a556950	001e0309-9c50-42b0-9e38-347883ee2cd3
b5ae0bee-0d96-46bd-8a60-79226e9bff8e	0022478c-4dfd-4cbe-a05e-fb20310844e3
e56245d6-c681-44e0-9eb2-504bee3e1b32	0022478c-4dfd-4cbe-a05e-fb20310844e3
aca1480c-df14-41e9-aabe-cbffe16047fe	0022478c-4dfd-4cbe-a05e-fb20310844e3
1a3bbd2a-43eb-4cc6-bec3-b949c651359d	0022478c-4dfd-4cbe-a05e-fb20310844e3
2387bd1c-4119-4bd2-bd43-e7b4e32d1072	0022478c-4dfd-4cbe-a05e-fb20310844e3
ae7a207a-344d-4133-8d61-b06e5e83e71e	0022478c-4dfd-4cbe-a05e-fb20310844e3
15da7808-4b7a-4583-b083-0a564373d5f5	0022478c-4dfd-4cbe-a05e-fb20310844e3
e84955d3-b9e4-4af7-a610-20ba98614a98	0022478c-4dfd-4cbe-a05e-fb20310844e3
26493c7e-4d5a-4c7d-9d2e-c3b7e92d2d3d	0022478c-4dfd-4cbe-a05e-fb20310844e3
75024fed-07cf-4d68-868e-b9fee358e44f	0022478c-4dfd-4cbe-a05e-fb20310844e3
db692293-5e72-4c9d-a14e-beecd6b1583d	0022478c-4dfd-4cbe-a05e-fb20310844e3
2c76e113-87f4-4713-b981-a544813e6ac3	0022478c-4dfd-4cbe-a05e-fb20310844e3
7c8223d5-8acd-480c-bf3c-e701ca4d12a7	0022478c-4dfd-4cbe-a05e-fb20310844e3
a86ac95b-01aa-4fd4-99e2-3ad2dfdaa143	0022478c-4dfd-4cbe-a05e-fb20310844e3
dc8181ac-779c-4b34-8a93-09644b0f7227	0022478c-4dfd-4cbe-a05e-fb20310844e3
fce71f97-7be7-4d72-9449-c4e0cc35349f	0022478c-4dfd-4cbe-a05e-fb20310844e3
44e3e78a-da98-4943-beef-c735aac8b550	0022478c-4dfd-4cbe-a05e-fb20310844e3
2543d48c-413b-4ff9-8dc3-125a19829056	0022478c-4dfd-4cbe-a05e-fb20310844e3
801f506a-c31c-47a9-9cd6-cfe7da0222c8	0024ab57-4036-4b0f-b7a1-040f97787022
67e5b110-3bd6-48e6-a81f-b576ca79ee4c	0024ab57-4036-4b0f-b7a1-040f97787022
ec310711-ca03-4316-b781-1b43858626b0	0024ab57-4036-4b0f-b7a1-040f97787022
1b82ceb1-5093-4746-ba9d-2e661e24c3a4	0024ab57-4036-4b0f-b7a1-040f97787022
4d79ad63-503c-4bd0-aff3-5610dbf35d6a	0024ab57-4036-4b0f-b7a1-040f97787022
6e84f646-7234-440a-91b2-e790945f9726	0024ab57-4036-4b0f-b7a1-040f97787022
e204840b-a72a-4648-927b-089bb131ad05	0024ab57-4036-4b0f-b7a1-040f97787022
70f30da7-3e76-4dc6-8c4d-483706147c27	0024ab57-4036-4b0f-b7a1-040f97787022
bd66acc9-23bb-4662-9c2d-0d1fb7f3fcdd	0024ab57-4036-4b0f-b7a1-040f97787022
4b2ea549-8102-493b-a6d5-267018850b17	002724fa-7051-49fa-9c58-4bcb7eba4ac6
1361a525-8559-4725-8a2d-3cc809a34d4c	002724fa-7051-49fa-9c58-4bcb7eba4ac6
f98d464b-50e7-4925-a851-1e7bab8643f4	002724fa-7051-49fa-9c58-4bcb7eba4ac6
12e345a7-ba05-4343-927f-29e408aa174d	002724fa-7051-49fa-9c58-4bcb7eba4ac6
4546b572-045a-4989-9397-ac168323285a	002724fa-7051-49fa-9c58-4bcb7eba4ac6
989bcd83-f8c2-4027-a10c-19ce3b67e348	002724fa-7051-49fa-9c58-4bcb7eba4ac6
c2f2f785-e2d3-484d-a2ae-f70446ff12bd	002724fa-7051-49fa-9c58-4bcb7eba4ac6
61c058d9-e5dc-4d74-b378-28b8f0a2bf78	002724fa-7051-49fa-9c58-4bcb7eba4ac6
58d67a31-8bf3-4b5e-8882-cfc23e29d6f1	002724fa-7051-49fa-9c58-4bcb7eba4ac6
2a832c49-a2db-437c-a109-304de1ac3b39	002724fa-7051-49fa-9c58-4bcb7eba4ac6
c628137e-508d-4fb4-8d34-e605e91f7d94	002724fa-7051-49fa-9c58-4bcb7eba4ac6
70976e04-b243-4c2b-9563-9ce215aa0414	002724fa-7051-49fa-9c58-4bcb7eba4ac6
6d389072-9861-4cd5-bf7e-a389380f9fdf	002724fa-7051-49fa-9c58-4bcb7eba4ac6
6f3f10f9-f703-4d24-9248-14851c67fa32	002724fa-7051-49fa-9c58-4bcb7eba4ac6
a21970f1-0a4c-4c8c-a26e-06f7850be008	002724fa-7051-49fa-9c58-4bcb7eba4ac6
7f0c6572-74c3-451f-87e7-4d4863a718e6	002724fa-7051-49fa-9c58-4bcb7eba4ac6
722874f7-34b9-4f67-8cf3-700ec8f4c50e	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
c7f6d8c8-cec9-4d36-bd43-86766f2fc72a	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
3fd1691a-71c0-4de4-919b-4db000d76ab7	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
9c377b8a-f2c6-4113-8515-8eb29e95690c	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
ac026569-058b-4457-833f-8021feda1009	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
0433e36e-145f-4ed5-9e55-6223eaebadbd	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
b5daeb73-b8eb-4e1a-9a86-32023c52716c	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
b81705a2-1c0d-4183-81f9-f14c53648671	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
ab2545cd-58e0-49ff-8408-7db9a5ad54aa	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
d6edbae7-9967-4bf5-9fcf-433dc71b35f8	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
4b86cac8-ca96-4768-b727-2b213f270d52	0030a28c-81aa-44b0-8be0-b35e1dcbf98c
e5038faf-4d47-43e6-86a1-0e13a443f90f	00397ce0-a931-46dd-9407-c1c6a14c39f1
b8b26ebd-57f0-4875-b5bb-ac6944fbd949	00397ce0-a931-46dd-9407-c1c6a14c39f1
6e3a2a2a-40c4-499c-bb8b-5b6a10862eb9	00397ce0-a931-46dd-9407-c1c6a14c39f1
a2d30ef5-82e7-4326-91c9-9e4beacc2940	00397ce0-a931-46dd-9407-c1c6a14c39f1
aab3c629-462d-4ed7-8597-93d019b914d9	00397ce0-a931-46dd-9407-c1c6a14c39f1
29e02a96-66bd-43ab-b6c4-79da20b4126b	00397ce0-a931-46dd-9407-c1c6a14c39f1
16eec88b-a50c-4fd5-b98d-c28b09ad903d	00397ce0-a931-46dd-9407-c1c6a14c39f1
ebe9641e-46f6-4eaf-b579-8eff860e52b8	00397ce0-a931-46dd-9407-c1c6a14c39f1
f1d90d1a-9be1-4f59-8548-9938e65eb304	00397ce0-a931-46dd-9407-c1c6a14c39f1
ff59575b-052e-4f33-85ad-5f6fb617e3ec	0050d8be-1db6-4c17-8bef-3ae2eaaa63ce
a6247991-0f9d-43f6-803b-21382a262aac	0050d8be-1db6-4c17-8bef-3ae2eaaa63ce
4bfeac25-80eb-4956-b5b2-ffff0c783042	0050d8be-1db6-4c17-8bef-3ae2eaaa63ce
6187dfe8-1338-4d58-9242-a990ab915991	0050d8be-1db6-4c17-8bef-3ae2eaaa63ce
737e3fc6-1ed5-4c1b-a15e-75a1fbccc083	0050d8be-1db6-4c17-8bef-3ae2eaaa63ce
dcf612cc-682c-4531-9ca6-f96daec3f7f9	0050d8be-1db6-4c17-8bef-3ae2eaaa63ce
a91f7b06-d9e6-4359-bb25-357ed0a39ff4	0050d8be-1db6-4c17-8bef-3ae2eaaa63ce
8210cea0-d3e3-416a-8fa6-c4c3617b6ef3	005669e5-1a31-45fb-ae97-9d450e74e7cb
d0bc7698-a2fe-44ca-8d33-8ccc4d5eacd9	005669e5-1a31-45fb-ae97-9d450e74e7cb
28a5c109-132a-4167-b543-b7c229536deb	005669e5-1a31-45fb-ae97-9d450e74e7cb
08ed144a-9726-43da-aa59-9d1c92754ecb	005669e5-1a31-45fb-ae97-9d450e74e7cb
1ee084c5-0e93-454f-b858-6e90b31261fe	005669e5-1a31-45fb-ae97-9d450e74e7cb
926c9b61-51e9-4924-ad05-07a77fa10c4a	005669e5-1a31-45fb-ae97-9d450e74e7cb
1462a1c2-cd3a-4100-8c51-32737edef5bc	005669e5-1a31-45fb-ae97-9d450e74e7cb
26a478a4-32dd-4516-a8ee-238726eecce1	005669e5-1a31-45fb-ae97-9d450e74e7cb
9c7b6939-6a0f-441a-a276-f7a87c7d7bbe	005669e5-1a31-45fb-ae97-9d450e74e7cb
9a62bc65-e432-4e34-99d5-7eeb38b341c6	005a6517-2e5a-4ea3-ab36-531522723607
56b54b8f-cebc-4a96-ac31-51bff0e3a122	005a6517-2e5a-4ea3-ab36-531522723607
c09fdbe5-b09a-46bb-b4d6-69c01a2ef284	005a6517-2e5a-4ea3-ab36-531522723607
7e650317-6bd3-4ad9-b4ad-47178983707c	005a6517-2e5a-4ea3-ab36-531522723607
e7825482-380d-4323-a4fb-d11b365c7073	005a6517-2e5a-4ea3-ab36-531522723607
